sample_id	sex
sample_001	0
sample_002	1
sample_003	0
sample_004	1
sample_005	1
sample_006	0
sample_007	0
sample_008	1
sample_009	0
sample_010	0
sample_011	0
sample_012	0
sample_013	0
sample_014	0
sample_015	0
sample_016	1
sample_017	0
sample_018	0
sample_019	0
sample_020	0
sample_021	0
sample_022	0
sample_023	0
sample_024	0
sample_025	0
sample_026	1
sample_027	0
sample_028	0
sample_029	1
sample_030	0
sample_031	1
sample_032	0
sample_033	1
sample_034	1
sample_035	1
sample_036	0
sample_037	0
sample_038	0
sample_039	0
sample_040	1
sample_041	0
sample_042	1
sample_043	0
sample_044	0
sample_045	0
sample_046	0
sample_047	1
sample_048	1
sample_049	0
sample_050	0
sample_051	0
sample_052	0
sample_053	1
sample_054	0
sample_055	0
sample_056	1
sample_057	0
sample_058	0
sample_059	0
sample_060	0
sample_061	1
sample_062	0
sample_063	0
sample_064	0
sample_065	1
sample_066	0
sample_067	0
sample_068	0
sample_069	0
sample_070	0
sample_071	0
sample_072	0
sample_073	1
sample_074	0
sample_075	0
sample_076	0
sample_077	0
sample_078	0
sample_079	0
sample_080	0
sample_081	1
sample_082	0
sample_083	0
sample_084	1
sample_085	0
sample_086	1
sample_087	0
sample_088	0
sample_089	0
sample_090	0
sample_091	1
sample_092	0
sample_093	0
sample_094	0
sample_095	0
sample_096	1
sample_097	0
sample_098	0
sample_099	0
sample_100	0
sample_101	1
sample_102	0
sample_103	0
sample_104	1
sample_105	0
sample_106	0
sample_107	0
sample_108	0
sample_109	1
sample_110	0
sample_111	1
sample_112	0
sample_113	0
sample_114	1
sample_115	0
sample_116	1
sample_117	0
sample_118	0
sample_119	1
sample_120	0
sample_121	1
sample_122	0
sample_123	1
sample_124	0
sample_125	0
sample_126	1
sample_127	0
sample_128	1
sample_129	0
sample_130	0
sample_131	1
sample_132	0
sample_133	0
sample_134	0
sample_135	0
sample_136	0
sample_137	0
sample_138	1
sample_139	1
sample_140	0
sample_141	0
sample_142	0
sample_143	1
sample_144	1
sample_145	0
sample_146	1
sample_147	0
sample_148	0
sample_149	0
sample_150	0
sample_151	0
sample_152	1
sample_153	0
sample_154	0
sample_155	0
sample_156	0
sample_157	0
sample_158	0
sample_159	0
sample_160	0
sample_161	0
sample_162	1
sample_163	0
sample_164	0
sample_165	0
sample_166	0
sample_167	0
sample_168	0
sample_169	1
sample_170	0
sample_171	1
sample_172	0
sample_173	0
sample_174	1
sample_175	1
sample_176	0
sample_177	0
sample_178	0
sample_179	0
sample_180	0
sample_181	0
sample_182	0
sample_183	0
sample_184	0
sample_185	0
sample_186	0
sample_187	1
sample_188	0
sample_189	0
sample_190	0
sample_191	0
sample_192	1
sample_193	1
sample_194	0
sample_195	0
sample_196	0
sample_197	0
sample_198	0
sample_199	1
sample_200	0
sample_201	1
sample_202	0
sample_203	0
sample_204	1
sample_205	0
sample_206	0
sample_207	0
sample_208	0
sample_209	0
sample_210	0
sample_211	0
sample_212	1
sample_213	0
sample_214	0
sample_215	0
sample_216	0
sample_217	1
sample_218	0
sample_219	0
sample_220	1
sample_221	1
sample_222	0
sample_223	0
sample_224	1
sample_225	0
sample_226	1
sample_227	0
sample_228	1
sample_229	1
sample_230	0
sample_231	0
sample_232	0
sample_233	0
sample_234	0
sample_235	1
sample_236	0
sample_237	0
sample_238	0
sample_239	1
sample_240	0
sample_241	1
sample_242	0
sample_243	0
sample_244	0
sample_245	0
sample_246	1
sample_247	0
sample_248	1
sample_249	0
sample_250	0
sample_251	1
sample_252	0
sample_253	0
sample_254	0
sample_255	0
sample_256	0
sample_257	0
sample_258	1
sample_259	0
sample_260	0
sample_261	0
sample_262	0
sample_263	0
sample_264	0
sample_265	0
sample_266	0
sample_267	1
sample_268	1
sample_269	0
sample_270	0
sample_271	0
sample_272	0
sample_273	0
sample_274	0
sample_275	0
sample_276	0
sample_277	0
sample_278	1
sample_279	1
sample_280	0
sample_281	0
sample_282	0
sample_283	0
sample_284	0
sample_285	0
sample_286	0
sample_287	0
sample_288	1
sample_289	0
sample_290	1
sample_291	0
sample_292	0
sample_293	0
sample_294	0
sample_295	0
sample_296	1
sample_297	0
sample_298	1
sample_299	0
sample_300	0
sample_301	1
sample_302	0
sample_303	1
sample_304	1
sample_305	0
sample_306	0
sample_307	0
sample_308	0
sample_309	0
sample_310	0
sample_311	1
sample_312	0
sample_313	1
sample_314	1
sample_315	0
sample_316	0
sample_317	0
sample_318	0
sample_319	1
sample_320	0
sample_321	0
sample_322	0
sample_323	0
sample_324	0
sample_325	0
sample_326	0
sample_327	1
sample_328	0
sample_329	0
sample_330	1
sample_331	0
sample_332	0
sample_333	1
sample_334	0
sample_335	0
sample_336	0
sample_337	0
sample_338	0
sample_339	0
sample_340	0
sample_341	1
sample_342	0
sample_343	0
sample_344	0
sample_345	0
sample_346	0
sample_347	0
sample_348	0
sample_349	0
sample_350	0
sample_351	0
sample_352	0
sample_353	0
sample_354	0
sample_355	0
sample_356	0
sample_357	0
sample_358	1
sample_359	1
sample_360	0
sample_361	0
sample_362	0
sample_363	1
sample_364	0
sample_365	0
sample_366	0
sample_367	0
sample_368	0
sample_369	1
sample_370	1
sample_371	0
sample_372	1
sample_373	0
sample_374	0
sample_375	0
sample_376	0
sample_377	1
sample_378	0
sample_379	0
sample_380	0
sample_381	0
sample_382	0
sample_383	1
sample_384	0
sample_385	0
sample_386	0
sample_387	0
sample_388	0
sample_389	0
sample_390	0
sample_391	0
sample_392	0
sample_393	0
sample_394	0
sample_395	0
sample_396	0
sample_397	0
sample_398	1
sample_399	1
sample_400	0
sample_401	0
sample_402	0
sample_403	1
sample_404	0
sample_405	0
sample_406	0
sample_407	0
sample_408	0
sample_409	0
sample_410	0
sample_411	0
sample_412	0
sample_413	0
sample_414	0
sample_415	1
sample_416	0
sample_417	0
sample_418	0
sample_419	0
sample_420	0
sample_421	0
sample_422	0
sample_423	0
sample_424	1
sample_425	1
sample_426	0
sample_427	0
sample_428	0
sample_429	1
sample_430	0
sample_431	0
sample_432	0
sample_433	0
sample_434	0
sample_435	0
sample_436	0
sample_437	0
sample_438	0
sample_439	0
sample_440	0
sample_441	0
sample_442	0
sample_443	0
sample_444	1
sample_445	0
sample_446	0
sample_447	0
sample_448	0
sample_449	0
sample_450	0
sample_451	0
sample_452	1
sample_453	0
sample_454	0
sample_455	0
sample_456	1
sample_457	0
sample_458	0
sample_459	0
sample_460	1
sample_461	0
sample_462	0
sample_463	0
sample_464	0
sample_465	0
sample_466	0
sample_467	0
sample_468	0
sample_469	0
sample_470	0
sample_471	0
sample_472	0
sample_473	1
sample_474	0
sample_475	0
sample_476	0
sample_477	0
sample_478	0
sample_479	0
sample_480	0
sample_481	0
sample_482	0
sample_483	1
sample_484	0
sample_485	0
sample_486	0
sample_487	0
sample_488	0
sample_489	0
sample_490	0
sample_491	0
sample_492	0
sample_493	0
sample_494	0
sample_495	1
sample_496	0
sample_497	0
sample_498	0
sample_499	0
sample_500	0
